SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1759223392.680691, 0.792032, 10.301053, -3.678990, -1.460941, -1.163482, 0.587423, -71.327637, 0.301971, -151.169586
1759223392.700683, 0.328006, 11.587337, -4.889109, -0.969028, -1.113036, 0.408396, -71.561966, 0.985535, -150.189850
1759223392.720685, -0.207847, 13.811850, -2.646191, 0.036770, -0.769174, 0.179713, -71.837921, 1.186615, -149.510056
1759223392.740744, -0.679504, 12.903101, -1.250671, 0.343866, -0.432800, 0.055140, -72.180008, 0.856674, -149.296799
1759223392.760686, -1.825130, 13.455713, -1.290175, 0.728156, -0.138806, -0.193601, -72.332581, 0.569489, -149.153671
1759223392.780687, -3.341557, 14.678102, 0.745794, 1.357856, 0.597560, -0.670220, -72.269028, -0.117859, -150.135483
1759223392.800688, -1.813757, 15.067010, -0.543633, 2.156148, 1.091552, -1.175781, -71.754181, -1.719055, -151.067719
1759223392.820686, 3.291878, 12.688371, -3.621380, 3.196799, 1.026021, -0.963448, -72.231827, -3.702332, -152.434814
1759223392.840683, 5.176563, 13.235895, -0.514604, 3.392104, 0.328556, -0.718845, -72.054626, -6.346329, -154.384598
1759223392.860694, 4.790648, 13.708002, 4.060716, 2.791791, 0.352264, -0.710091, -71.276657, -8.779968, -155.399017
1759223392.880710, 6.485294, 14.021043, 3.936516, 2.218010, 0.625689, -0.460887, -70.851120, -11.017807, -155.648560
1759223392.900694, 7.338228, 14.443919, 3.993828, 1.756838, 0.254990, -0.199081, -70.652908, -12.572571, -156.860123
1759223392.920704, 7.932140, 14.203452, 4.196437, 1.354190, -0.394202, -0.048741, -70.404251, -13.828201, -156.545639
1759223392.940691, 8.077139, 12.281806, 3.076100, 1.599341, -0.666167, -0.043685, -70.541702, -14.935181, -156.529434
1759223392.959822, 4.447230, 10.869376, -3.162740, 3.388156, -1.050938, -0.581922, -71.321182, -16.704742, -156.306625
1759223392.980698, 3.568258, 9.554511, 1.748815, 3.987010, 0.089997, -0.728211, -71.751480, -21.148148, -156.938263
1759223393.000702, 2.498200, 7.425916, 1.695993, 4.242983, 0.535401, -0.661307, -71.066788, -24.596542, -157.862549
1759223393.020707, 2.574814, 5.760449, 1.368137, 4.120212, 0.730083, -0.496885, -70.620865, -27.842575, -157.383377
1759223393.040678, 2.736423, 4.690989, 0.900968, 3.286931, 1.281958, -0.406409, -69.432922, -30.709732, -157.224548
1759223393.059893, 2.466926, 4.459350, 1.051952, 2.697746, 1.619785, -0.391709, -69.139694, -32.120956, -156.904617
1759223393.080373, 2.322076, 3.392584, 2.199673, 1.158910, 1.036598, -0.264435, -67.248337, -33.675919, -157.788101
1759223393.100702, 2.954744, 2.211195, 1.949479, 0.670492, 0.476196, -0.050819, -66.531448, -34.169815, -157.528214
1759223393.120700, 3.239355, 1.258452, 1.203685, 0.424589, 0.555616, 0.158459, -66.365524, -34.721481, -157.400116
1759223393.140684, 2.757522, 1.066168, 0.882263, -0.181165, 0.611634, 0.205126, -65.729355, -34.874588, -158.111633
1759223393.160220, 2.174384, 1.673697, 0.593463, -0.610749, 0.553238, 0.201342, -65.071686, -34.360245, -158.007294
1759223393.180705, 2.223764, 2.676119, -1.590049, -1.421514, 0.536313, 0.300255, -65.032837, -32.833298, -158.448669
1759223393.200713, 0.925359, 4.944326, -5.461623, -1.897485, 0.436777, 0.139447, -64.253952, -31.753098, -158.673737
1759223393.220707, 1.802684, 8.832958, -13.002011, -1.467680, 0.765203, -0.056603, -63.502899, -30.877899, -159.506363
1759223393.240311, 3.405303, 15.898995, -22.338650, 0.188603, 1.383192, -0.055576, -62.664993, -30.679611, -159.264359
1759223393.260624, 1.836802, 20.352061, -13.916148, -0.359345, 0.756176, -0.331158, -61.927170, -30.907913, -158.986053
1759223393.280716, -0.388160, 15.021221, -5.251681, -0.998057, -1.806306, -1.093251, -63.167419, -30.268112, -159.483231
1759223393.300706, 1.366341, 8.384195, -6.385037, -0.175662, -1.086938, -1.215431, -63.794205, -30.342896, -159.308929
1759223393.320765, 7.053617, 7.557597, -4.738424, -0.342508, 0.132090, -0.239258, -63.330002, -30.023605, -159.230057
1759223393.340754, 11.216087, 9.631275, 4.587141, -1.196776, -0.896352, 1.848999, -64.952148, -29.190826, -158.926620
1759223393.360729, 10.740838, 15.254506, -8.532635, 0.701910, -1.538988, 1.903316, -65.840073, -29.071060, -159.288635
